edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
91,13802,3500,116.3778339,39.9476721,116.3763325,39.947658,116.3770832,39.94766505
92,3500,13825,116.3763325,39.947658,116.3759581,39.947647,116.3761453,39.947652500000004
93,13825,3499,116.3759581,39.947647,116.3754448,39.9476317,116.37570145000001,39.94763935
94,3141,20452,116.4558657,39.9028678,116.4558517,39.9029669,116.4558587,39.90291735
95,20452,20454,116.4558517,39.9029669,116.4558045,39.9032396,116.45582809999999,39.90310325
96,20454,446,116.4558045,39.9032396,116.4560142,39.9050642,116.45590935,39.9041519
97,446,26690,116.4560142,39.9050642,116.4559413,39.9065506,116.45597775,39.9058074
98,26690,15629,116.4559413,39.9065506,116.4559464,39.906734,116.45594385000001,39.9066423
99,6889,6895,116.4198543,39.9679148,116.4229966,39.9679993,116.42142545,39.96795705
100,6895,23252,116.4229966,39.9679993,116.4249928,39.9680502,116.42399470000001,39.96802475
101,187,25714,116.4559045,39.9457205,116.4564082,39.9457607,116.45615635,39.9457406
102,25714,187,116.4564082,39.9457607,116.4559045,39.9457205,116.45615635,39.9457406
103,25714,25713,116.4564082,39.9457607,116.4613558,39.9466478,116.458882,39.94620425
104,25713,25714,116.4613558,39.9466478,116.4564082,39.9457607,116.458882,39.94620425
105,274,275,116.4836967,39.9151322,116.4836822,39.9112532,116.48368945,39.913192699999996
106,275,4098,116.4836822,39.9112532,116.4836253,39.9090118,116.48365375,39.9101325
107,14517,20962,116.3558827,39.8298219,116.3503875,39.8297809,116.3531351,39.8298014
108,20962,23790,116.3503875,39.8297809,116.346358,39.829808,116.34837275,39.82979445
109,7134,14653,116.3048956,39.8293738,116.3021895,39.8293952,116.30354255,39.8293845
110,14653,309,116.3021895,39.8293952,116.2945688,39.8293786,116.29837914999999,39.8293869
111,17875,351,116.2693104,39.9276514,116.269154,39.9295989,116.2692322,39.92862515
112,351,23688,116.269154,39.9295989,116.2688978,39.9316123,116.2690259,39.9306056
113,736,3718,116.3377919,39.9848877,116.3382031,39.9849148,116.3379975,39.98490125
114,3718,18130,116.3382031,39.9849148,116.342642,39.985083,116.34042255,39.9849989
115,18130,17245,116.342642,39.985083,116.3445352,39.9851534,116.3435886,39.9851182
116,17245,17246,116.3445352,39.9851534,116.3451775,39.9851828,116.34485635,39.985168099999996
117,6555,17628,116.3983984,39.9674703,116.3978355,39.9674671,116.39811695,39.9674687
118,2204,361,116.3467723,39.9663991,116.3436266,39.9663756,116.34519945,39.96638735
119,361,23334,116.3436266,39.9663756,116.3422763,39.9663621,116.34295144999999,39.966368849999995
120,17958,22833,116.3038187,39.9449589,116.3038356,39.9438825,116.30382714999999,39.9444207
121,18667,381,116.3124355,39.8548184,116.312964,39.8542364,116.31269975000001,39.854527399999995
122,393,20534,116.3813989,39.8556956,116.3823564,39.8557,116.38187765,39.8556978
123,29529,29527,116.5027255,39.9714307,116.5006282,39.9704824,116.50167685,39.97095655
124,29527,29529,116.5006282,39.9704824,116.5027255,39.9714307,116.50167685,39.97095655
125,29527,69736,116.5006282,39.9704824,116.4971601,39.9705745,116.49889415,39.97052845
126,69736,29527,116.4971601,39.9705745,116.5006282,39.9704824,116.49889415,39.97052845
127,69736,28487,116.4971601,39.9705745,116.4970377,39.970586,116.4970989,39.97058025
128,28487,69736,116.4970377,39.970586,116.4971601,39.9705745,116.4970989,39.97058025
129,28487,69738,116.4970377,39.970586,116.4968248,39.9705994,116.49693125,39.9705927
130,69738,28487,116.4968248,39.9705994,116.4970377,39.970586,116.49693125,39.9705927
131,69738,31158,116.4968248,39.9705994,116.4936973,39.9706451,116.49526105,39.97062225
132,31158,69738,116.4936973,39.9706451,116.4968248,39.9705994,116.49526105,39.97062225
133,31158,14991,116.4936973,39.9706451,116.4934797,39.9706528,116.49358849999999,39.97064895
134,14991,31158,116.4934797,39.9706528,116.4936973,39.9706451,116.49358849999999,39.97064895
135,14991,49616,116.4934797,39.9706528,116.4870791,39.9706609,116.49027939999999,39.97065685
136,49616,14991,116.4870791,39.9706609,116.4934797,39.9706528,116.49027939999999,39.97065685
137,49616,14990,116.4870791,39.9706609,116.4868645,39.9706599,116.48697179999999,39.9706604
138,14990,49616,116.4868645,39.9706599,116.4870791,39.9706609,116.48697179999999,39.9706604
139,14990,4375,116.4868645,39.9706599,116.4838136,39.9711655,116.48533905,39.9709127
140,4375,14990,116.4838136,39.9711655,116.4868645,39.9706599,116.48533905,39.9709127
141,572,33587,116.4262556,39.9686046,116.4262916,39.9703609,116.4262736,39.96948275
142,231,7056,116.4856164,39.9142401,116.4898659,39.9143471,116.48774115,39.9142936
143,17435,17429,116.4554826,39.9291582,116.4554634,39.92548,116.455473,39.927319100000005
144,17429,461,116.4554634,39.92548,116.4554327,39.9230992,116.45544805,39.9242896
145,181,31881,116.466617,39.9324698,116.4687203,39.9364875,116.46766865000001,39.93447865
146,31881,31887,116.4687203,39.9364875,116.4685585,39.9390817,116.4686394,39.9377846
147,31887,25708,116.4685585,39.9390817,116.4684019,39.9415445,116.4684802,39.9403131
148,25708,60830,116.4684019,39.9415445,116.4683891,39.9416695,116.4683955,39.941607000000005
149,19294,3346,116.4552619,39.8766272,116.455278,39.8778545,116.45526995,39.87724085
150,3346,53613,116.455278,39.8778545,116.4553263,39.8789252,116.45530215,39.87838985
151,53613,3347,116.4553263,39.8789252,116.4553467,39.8798191,116.4553365,39.879372149999995
152,3347,53606,116.4553467,39.8798191,116.4553601,39.8806893,116.4553534,39.880254199999996
153,53606,31962,116.4553601,39.8806893,116.4553835,39.8823751,116.4553718,39.881532199999995
154,31962,4411,116.4553835,39.8823751,116.4553923,39.8830126,116.4553879,39.882693849999995
155,462,442,116.4554261,39.9168886,116.4554986,39.9151061,116.45546235,39.91599735
156,442,20383,116.4554986,39.9151061,116.4555009,39.9149875,116.45549975,39.9150468
157,20383,463,116.4555009,39.9149875,116.4556196,39.9131786,116.45556025,39.91408305
158,415,447,116.4554936,39.8971138,116.4556238,39.9043335,116.4555587,39.90072365
